id,cost,card_name,craft_id
110124010,0,Mark of the Unkilling,1
113242010,0,Everlasting Castle,2
116322010,0,Spellbinder's Preparation,3
108634010,0,Gift for Bloodkin,6
109623010,0,Restless Parish,6
118821010,0,Capsule Homunculus,8
107834020,0,Biofabrication,8
110824010,0,Mechanization,8
115814010,0,Focus,8
713814010,0,Focus,8
118834010,0,Elemental Brink,8
122814010,0,Revised Experiment,8
123824010,0,Supersonic Breakthrough,8
715824010,0,Supersonic Breakthrough,8
100011010,1,Goblin,0
104011030,1,Wise Merman,0
110011020,1,Steadfast Angel,0
118011010,1,Rivaylian Bandit,0
124021010,1,Brave Goblin,0
125011010,1,Wayfaring Goblin,0
126031010,1,"Garuel, Seraphic Leo",0
101024010,1,Angelic Snipe,0
105024010,1,Into the Looking Glass,0
106024010,1,Mystic Ring,0
107024010,1,Treasure Map,0
115024010,1,Clash of Heroes,0
120014010,1,Retracing the Past,0
715014010,1,Retracing the Past,0
121034010,1,Naterra's Future,0
122014010,1,Angel's Grace,0
108013010,1,Fount of Angels,0
115013010,1,Sentry Gate,0
121023010,1,Aiolon's Remains,0
122023010,1,Legendary Tome,0
122033010,1,Brand of the Morning Star,0
100111010,1,Water Fairy,1
101111010,1,Elf Child May,1
101111020,1,Fairy Champion,1
103111050,1,Felpurr Kitten,1
110141020,1,"Tia, Crystalian Noble",1
111111030,1,"Lila, Arborist",1
112111030,1,Robotic Bagworm,1
113131010,1,Whirlwind Rhinoceroach,1
113131030,1,"May, Eager Elf",1
115111020,1,Crossbow Sniper,1
115141030,1,Phantasmal Fairy Dragon,1
116111030,1,Ironback Beetle,1
117121020,1,Lumbering Carapace,1
118111030,1,Cactus Cowboy,1
118141010,1,"Shamu & Shama, Posh Felines",1
119121010,1,"Walder, Forest Ranger",1
120141020,1,"Sekka, Fatebound Fox",1
716141010,1,"Sekka, Fatebound Fox",1
122131010,1,Flower Fox,1
122131020,1,Blast Fairy,1
125111010,1,Autumn Leaf Man,1
125121010,1,Precocious Felpurr Kitten,1
125131010,1,Aqua Fairy,1
126131020,1,Gerbera Bear,1
101114010,1,Nature's Guidance,1
112114010,1,Nature's Guidance,1
709114010,1,Nature's Guidance,1
101114050,1,Fairy Circle,1
110114010,1,Fairy Circle,1
103114020,1,Entangling Vines,1
106114010,1,Airbound Barrage,1
114114010,1,Airbound Barrage,1
702114010,1,Airbound Barrage,1
107134010,1,Fairy Torrent,1
114124010,1,Fertile Aether,1
114134010,1,Divine Smithing,1
115114010,1,Synchronized Slash,1
115124010,1,Spiritshine,1
713124010,1,Spiritshine,1
121114010,1,Lonely Beginnings,1
121134010,1,Heroic Resolve,1
122134010,1,Miracle Harvest,1
123124010,1,Rejuvenating Resurrection,1
